# emapper version: emapper-1.0.3 emapper DB: 4.5.1
# command: ./emapper.py  -i ../Mcavernosa.proteins.fasta --output Mcavernosa_euk -d euk --usemem --cpu 60
# time: Tue Jul 10 03:58:24 2018
#query_name	eggNOG annot
Mcavernosa05151	Solute carrier family 7 (cationic amino acid transporter, y system), member
Mcavernosa05155	Solute carrier family 7 (cationic amino acid transporter, y system), member
Mcavernosa05156	solute carrier family 7 (orphan transporter), member
Mcavernosa05158	Vacuolar protein sorting 13 homolog D (S. cerevisiae)
Mcavernosa05160	Vacuolar protein sorting 13 homolog D (S. cerevisiae)
Mcavernosa05163	Vacuolar protein sorting 13 homolog D (S. cerevisiae)
Mcavernosa05159	Vacuolar protein sorting 13 homolog D (S. cerevisiae)
Mcavernosa05157	Dehydrogenase
Mcavernosa05169	von Willebrand factor A domain containing 7
Mcavernosa05167	methyltransferase like 13
Mcavernosa05172	von Willebrand factor A domain containing 7
Mcavernosa05168	chromosome 14 open reading frame 166B
Mcavernosa05165	Lysophosphatidylcholine acyltransferase 3
Mcavernosa05177	solute carrier family 33 (acetyl-CoA transporter), member 1
Mcavernosa05176	Solute carrier family 9, subfamily B (NHA2, cation proton antiporter 2), member 2
Mcavernosa05179	enhancer of polycomb homolog
Mcavernosa05180	vacuolar protein sorting 41 homolog (S. cerevisiae)
Mcavernosa05191	NA
Mcavernosa05182	dna-directed RNA polymerase
Mcavernosa05184	SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae)
Mcavernosa05181	dna-directed RNA polymerase
Mcavernosa05187	3-oxoacyl- acyl-carrier-protein -synthase
Mcavernosa05190	Hydra magnipapillata
Mcavernosa05185	solute carrier family 39 (zinc transporter), member
Mcavernosa05183	SAP domain containing ribonucleoprotein
Mcavernosa05194	Inherit from KOG: Retrotransposon protein
Mcavernosa05199	Integrin-linked kinase-associated serine threonine phosphatase
Mcavernosa05201	Predicted ATPase of the ABC class
Mcavernosa05197	Ligase III, DNA, ATP-dependent
Mcavernosa05214	ribosomal protein l9
Mcavernosa05220	armadillo repeat containing 3
Mcavernosa05215	Coiled-coil domain containing 150
Mcavernosa05213	Solute carrier family 25 member
Mcavernosa05212	von Willebrand factor A domain containing
Mcavernosa05226	DDB1 and CUL4 associated factor 10
Mcavernosa05229	Udp-glucose 6-dehydrogenase
Mcavernosa05224	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor
Mcavernosa05232	Cell adhesion molecule
Mcavernosa05231	KAZAL
Mcavernosa05217	armadillo repeat containing 3
Mcavernosa05223	espin-like
Mcavernosa05218	armadillo repeat containing 3
Mcavernosa05227	KAZAL
Mcavernosa05230	KAZAL
Mcavernosa05233	KAZAL
Mcavernosa05237	calmodulin
Mcavernosa05234	Cell adhesion molecule
Mcavernosa05249	Phosphodiesterase
Mcavernosa05247	Ribosomal protein
Mcavernosa05260	solute carrier family 22
Mcavernosa05253	Thyroglobulin type-1 repeat
Mcavernosa05251	Thyroglobulin type-1 repeat
Mcavernosa05245	protein phosphatase 1, regulatory subunit
Mcavernosa05259	homeobox
Mcavernosa05248	pleckstrin homology domain containing, family M (with RUN domain) member 1
Mcavernosa05269	casein kinase 1
Mcavernosa05263	ligand of numb-protein X 2
Mcavernosa05268	Folate receptor family
