"","locus","chromo","position","start","end","gene","cog","protein","qval","sig"
"27",1924,"Sc0000062",295853,281605,298921,"Mcavernosa16657","T","receptor tyrosine kinase-like orphan receptor",0.0039881,"***"
"28",2024,"Sc0000066",650888,644107,676724,"Mcavernosa16979","S","Lectin C-type domain",0.00024191,"***"
"29",2025,"Sc0000066",652197,644107,676724,"Mcavernosa16979","S","Lectin C-type domain",0.032157,"**"
"30",2026,"Sc0000066",654108,644107,676724,"Mcavernosa16979","S","Lectin C-type domain",0.017447,"**"
"31",2041,"Sc0000067",284567,278061,285961,"Mcavernosa17017","P","Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis (By similarity)",0,"***"
"32",2041,"Sc0000067",284567,282441,289151,"Mcavernosa17018","P","Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis (By similarity)",0,"***"
"33",2091,"Sc0000069",259171,250294,259857,"Mcavernosa17169","K","Iroquois homeobox",0.018493,"**"
"34",2212,"Sc0000074",250297,238795,268987,"Mcavernosa02315","T","Phosphodiesterase",0.033761,"**"
"35",2244,"Sc0000075",616525,607578,618954,"Mcavernosa02407","C","solute carrier family 25, member 38",0.025515,"**"
"36",2285,"Sc0000078",104432,103456,124290,"Mcavernosa02553","S","IQ",0.035879,"**"
"37",2303,"Sc0000078",538250,533613,551888,"Mcavernosa02598","O","family with sequence similarity 181, member B",0.0098548,"***"
"38",2306,"Sc0000078",614585,613259,619758,"Mcavernosa02606","L","Diphthamide biosynthesis protein 3",0,"***"
"39",2310,"Sc0000079",250813,238726,255446,"Mcavernosa02643","T","Cholinergic receptor, nicotinic, alpha",0.068863,"*"
"40",2310,"Sc0000079",250813,248660,262153,"Mcavernosa02644","T","cholinergic receptor, nicotinic",0.068863,"*"
"41",2348,"Sc0000080",361792,360415,371754,"Mcavernosa02783","T","leucine rich repeat and sterile alpha motif containing 1",0.0002845,"***"
"42",2352,"Sc0000080",488331,487227,499585,"Mcavernosa02799","S","Coiled-coil domain containing 151",0.0016388,"***"
"43",2355,"Sc0000080",691904,676401,693647,"Mcavernosa02820","U","solute carrier family 18, subfamily B, member 1",0.094197,"*"
"44",2381,"Sc0000082",94347,90633,109672,"Mcavernosa02896","O","protease",0.014867,"**"
"45",2410,"Sc0000084",35373,33192,72247,"Mcavernosa03031","Q","ATP-binding cassette sub-family A ABC1 member",0.0079092,"***"
"46",2780,"Sc0000104",484264,481326,496110,"Mcavernosa04429","O","to astacin family metalloendopeptidase FARM-1 Hydra magnipapillata ",0.054632,"*"
"47",2867,"Sc0000110",465061,459333,473275,"Mcavernosa04749","L","PIKK family atypical protein kinase",0.079337,"*"
"48",3392,"Sc0000143",233814,224785,238979,"Mcavernosa12556","T","apoptosis inhibitor",0.097174,"*"
"49",3557,"Sc0000153",163679,155765,172955,"Mcavernosa13160","T, Z","Formin 2",0.055859,"*"
"50",3598,"Sc0000156",233175,232263,242297,"Mcavernosa13321","Z","Microtubule associated monoxygenase, calponin and LIM domain containing",0.0029119,"***"
"51",3680,"Sc0000162",271434,263202,272051,"Mcavernosa13626","T, U","EF-hand calcium binding domain",0.0034104,"***"
"52",3695,"Sc0000163",476311,449149,476793,"Mcavernosa13698","T","pleckstrin homology domain containing, family G (with RhoGef domain) member",0,"***"
"53",3751,"Sc0000166",251524,238062,268207,"Mcavernosa13783","G","phosphorylase kinase",0.028888,"**"
"54",4118,"Sc0000190",166270,161552,169259,"Mcavernosa28605","P, T","polycystic kidney disease 1-like 2",0.033353,"**"
"55",4315,"Sc0000203",157445,155494,167885,"Mcavernosa08740","K","Zinc finger, C2H2 type",0.00084856,"***"
"56",4394,"Sc0000209",350281,347785,365259,"Mcavernosa09014","A","RNA binding protein, fox-1 homolog (C. elegans)",0.0021051,"***"
"57",4396,"Sc0000210",164055,158822,165206,"Mcavernosa09023","O","Dermatan sulfate epimerase-like",0.0346,"**"
"58",4481,"Sc0000216",309176,285965,314077,"Mcavernosa14323","T","Lowdensity lipoprotein",0.080079,"*"
"59",4482,"Sc0000216",311217,285965,314077,"Mcavernosa14323","T","Lowdensity lipoprotein",0.01443,"**"
"60",4530,"Sc0000221",445181,420545,445853,"Mcavernosa14579","T, W","armadillo repeat containing 2",0.0088241,"***"
"61",4530,"Sc0000221",445181,443025,456073,"Mcavernosa14581","S","chromosome 11 open reading frame 65",0.0088241,"***"
"62",4590,"Sc0000227",204417,177389,217038,"Mcavernosa14818","M","Dysferlin, limb girdle muscular dystrophy 2B (Autosomal recessive)",0.053441,"*"
"63",4603,"Sc0000227",405468,401584,406889,"Mcavernosa14838","Q","hephaestin-like 1",0.000051862,"***"
"64",4645,"Sc0000230",214219,210931,218813,"Mcavernosa14928","S","Transmembrane protein 205",0.00096942,"***"
"65",4675,"Sc0000232",390834,379259,409857,"Mcavernosa15121","K","Neuronal PAS domain protein 2",0.029949,"**"
"66",4875,"Sc0000246",158533,150339,165139,"Mcavernosa11524","O","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein",0.019318,"**"
"67",4876,"Sc0000246",160029,150339,165139,"Mcavernosa11524","O","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein",0.072895,"*"
"68",5192,"Sc0000274",356889,326224,356983,"Mcavernosa31974","T","ankyrin repeat",0.028194,"**"
"69",5253,"Sc0000284",186309,183546,206825,"Mcavernosa32213","S","myeloid lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)",0.0372,"**"
"70",5276,"Sc0000287",272412,265916,289527,"Mcavernosa32317","P","Sodium hydrogen exchanger",0.0018613,"***"
"71",5749,"Sc0000345",152147,147574,158683,"Mcavernosa19881","A, J","iron-responsive element binding protein 2",0.021965,"**"
"72",5758,"Sc0000346",94998,93359,99925,"Mcavernosa19908","G","mannosidase alpha class",0.020727,"**"
"73",5915,"Sc0000365",150949,149192,162411,"Mcavernosa22241","I","acetyl-CoA acyltransferase 2",0.074281,"*"
"74",5915,"Sc0000365",150949,137534,153150,"Mcavernosa22238","A","SYF2 homolog, RNA splicing factor (S. cerevisiae)",0.074281,"*"
"75",5960,"Sc0000370",209590,206117,245168,"Mcavernosa22382","Z","dystrobrevin",0.00065276,"***"
"76",5963,"Sc0000370",223301,206117,245168,"Mcavernosa22382","Z","dystrobrevin",0.092699,"*"
"77",6029,"Sc0000382",126036,124404,130113,"Mcavernosa22726","S","kiaa1958",0.016019,"**"
"78",6030,"Sc0000382",128302,124404,130113,"Mcavernosa22726","S","kiaa1958",0.063591,"*"
"79",6057,"Sc0000386",218550,216541,229696,"Mcavernosa15423","O","UBX domain protein",0.0022948,"***"
"80",6095,"Sc0000390",96448,92122,109465,"Mcavernosa15521","S","Programmed cell death 6 interacting protein",0.029242,"**"
"81",6121,"Sc0000392",276515,262325,278763,"Mcavernosa15635","Z","MYSc",0.031029,"**"
"82",6127,"Sc0000395",53353,48635,58418,"Mcavernosa15712","S","CTS telomere maintenance complex component 1",0.040362,"**"
"83",6159,"Sc0000398",209284,208874,217574,"Mcavernosa15811","A","Methyltransferase like 21D",0.041762,"**"
"84",6159,"Sc0000398",209284,203599,212365,"Mcavernosa15810","T","protein kinase C substrate",0.041762,"**"
"85",6180,"Sc0000401",73136,69814,86271,"Mcavernosa15895","T","calmodulin",0.000051862,"***"
"86",6660,"Sc0000478",84729,81991,86752,"Mcavernosa09719","F","glutamine amidotransferase",0.010834,"**"
"87",7076,"Sc0000564",41161,40367,46799,"Mcavernosa26807","P, T","Polycystic kidney disease",0.098667,"*"
"88",7134,"Sc0000576",103072,100970,107264,"Mcavernosa27004","L","DNA polymerase kappa",0.063591,"*"
"89",7142,"Sc0000577",81001,75993,84658,"Mcavernosa27023","T","Inherit from KOG: G- protein-coupled receptor",0.0093968,"***"
"90",7179,"Sc0000586",61007,54497,64743,"Mcavernosa20087","F","adenylate kinase",0.036316,"**"
"91",7216,"Sc0000595",139741,135289,140083,"Mcavernosa20323","O","Astacin (Peptidase family M12A)",0.076439,"*"
"92",7222,"Sc0000596",132893,131076,168692,"Mcavernosa20343","T","protein tyrosine phosphatase receptor type",0.060328,"*"
"93",7223,"Sc0000596",132906,131076,168692,"Mcavernosa20343","T","protein tyrosine phosphatase receptor type",0.00055567,"***"
"94",7228,"Sc0000597",75747,69680,77769,"Mcavernosa20355","S","SET domain containing 9",0.070199,"*"
"95",7613,"Sc0000673",76097,76026,92205,"Mcavernosa17980","K","IWS1 homolog (S. cerevisiae)",0.022275,"**"
"96",7638,"Sc0000680",151817,149039,155842,"Mcavernosa18111","S","TBC1 domain family, member 7",0.0076533,"***"
"97",7649,"Sc0000682",137909,127400,138441,"Mcavernosa18143","S","nucleolar and spindle associated protein 1",0,"***"
"98",7677,"Sc0000691",93534,87294,99827,"Mcavernosa22890","E","Carboxypeptidase",0.0013784,"***"
"99",7819,"Sc0000749",64673,27320,69720,"Mcavernosa23569","K","ccr4-Not transcription complex",0.064235,"*"
"100",7909,"Sc0000793",43788,42123,52227,"Mcavernosa29857","G","Aquaporin",0.072222,"*"
"101",7909,"Sc0000793",43788,39677,44813,"Mcavernosa29856","G","Aquaporin",0.072222,"*"
"102",7911,"Sc0000793",43810,42123,52227,"Mcavernosa29857","G","Aquaporin",0.012189,"**"
"103",7911,"Sc0000793",43810,39677,44813,"Mcavernosa29856","G","Aquaporin",0.012189,"**"
"104",7957,"Sc0000815",46564,35866,46933,"Mcavernosa30080","P","potassium intermediate small conductance calcium-activated channel, subfamily N, member",0.05775,"*"
"105",8007,"Sc0000836",60359,60344,70897,"Mcavernosa25494","O","astacin-like metalloendopeptidase (M12 family)",0.061638,"*"
"106",8021,"Sc0000844",57836,54559,62548,"Mcavernosa25609","K","UNC homeobox",0.0088241,"***"
"107",8102,"Sc0000898",50293,48245,61625,"Mcavernosa23625","U","RAB14 member RAS oncogene family",0.0052482,"***"
"108",8102,"Sc0000898",50293,42504,52009,"Mcavernosa23624","Z","(actinin), alpha",0.0052482,"***"
"109",8104,"Sc0000898",70539,69193,80640,"Mcavernosa23628","S","BRO1 domain and CAAX motif containing",0.0015319,"***"
"110",8105,"Sc0000898",70540,69193,80640,"Mcavernosa23628","S","BRO1 domain and CAAX motif containing",0.0018053,"***"
"111",8135,"Sc0000922",80746,73120,82306,"Mcavernosa23886","K","Polycomb group ring finger 1",0.050629,"*"
"112",8135,"Sc0000922",80746,79221,86885,"Mcavernosa23888","O","Inherit from opiNOG: Polycomb group ring finger",0.050629,"*"
"113",8376,"Sc0001344",10967,5417,11093,"Mcavernosa35036","A","wilms tumor 1 associated protein",0.004606,"***"
"114",8425,"Sc0001560",21724,18617,26154,"Mcavernosa34023","U","amyloid beta (A4) precursor-like protein 1",0.030667,"**"
"115",8595,"xfSc0000004",312225,297257,330669,"Mcavernosa12659","W","CAlSYntenin",0.086012,"*"
"116",8843,"xfSc0000031",98049,66537,100795,"Mcavernosa26565","O","ADAM metallopeptidase with thrombospondin type 1 motif",0.0044148,"***"
"117",8873,"xfSc0000040",124028,68231,134870,"Mcavernosa20643","Z","Dynein, axonemal heavy chain",0.097918,"*"
"118",8911,"xfSc0000048",100780,99666,104892,"Mcavernosa17724","T","Dynamin family",0.032949,"**"
"119",8920,"xfSc0000050",38018,35178,45907,"Mcavernosa17957","T","Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)",0.043228,"**"
"120",9005,"xfSc0000084",65207,61669,68446,"Mcavernosa25700","E","Inherit from COG: oxidoreductase",0.094942,"*"
"121",9006,"xfSc0000084",65543,65358,76356,"Mcavernosa25701","E","Inherit from COG: oxidoreductase",0.013589,"**"
"122",9006,"xfSc0000084",65543,61669,68446,"Mcavernosa25700","E","Inherit from COG: oxidoreductase",0.013589,"**"
"123",9073,"xfSc0000138",22035,15968,52134,"Mcavernosa24246","W","sushi domain containing 2",0.044728,"**"
"124",9451,"xpSc0004679",77832,74393,86485,"Mcavernosa32339","S","storkhead box",0.0013784,"***"
"125",9490,"xpSc0004683",101818,93090,104310,"Mcavernosa22558","O","Protein-l-isoaspartate O-methyltransferase",0.089708,"*"
"126",9587,"xpSc0004703",137182,125654,146124,"Mcavernosa17508","Z","(actinin), alpha",0.094197,"*"
"127",9707,"xpSc0004753",68945,44063,78897,"Mcavernosa24038","S","Chromosome 14 open reading frame 159",0,"***"
"128",9708,"xpSc0004753",68948,44063,78897,"Mcavernosa24038","S","Chromosome 14 open reading frame 159",0.00042408,"***"
"129",9717,"xpSc0004760",41293,23207,63744,"Mcavernosa24119","P","Solute carrier family 13",0.017702,"**"
"130",9730,"xpSc0004768",13647,11940,16882,"Mcavernosa24254","O","ADAM metallopeptidase with thrombospondin type 1, motif",0.0011179,"***"
"131",9846,"xpSc0005355",1435,1129,10948,"Mcavernosa33669","O","tripartite motif containing 3",0.096427,"*"
